flight_id,seat_no,ticket_no,fare_conditions,flightamount,countseats,scheduled_departure,actual_departure,departure_airport,scheduled_arrival,actual_arrival,arrival_airport,flighttime,status,aircraft_code,model
136119,10E,5435171164   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,21A,5432349569   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,13E,5435171155   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,9E,5432349683   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,10C,5432349538   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,8E,5432349616   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,17B,5435171142   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,4D,5434147195   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,14E,5432333394   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,11A,5432333336   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,17F,5432349156   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,8A,5432362676   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,20B,5434147187   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,11B,5435171153   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,17D,5432333366   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,14B,5432349631   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,8B,5435489478   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,19B,5432349617   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,15B,5432349520   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,3D,5432349550   ,Business,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,16B,5434147184   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,22A,5432349615   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,7C,5432349589   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,20D,5435171148   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,16D,5434147191   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,22B,5434147190   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,12D,5432349511   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,5B,5434147185   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,6D,5432333404   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,18F,5435171169   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,22F,5432349614   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,16F,5432333338   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,4C,5432349598   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,4E,5432349536   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,15D,5432052085   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
136119,23B,5435171159   ,Economy,1653000.00,130,2017-01-03T10:05:00Z,2017-01-03T10:08:00Z,AAQ,2017-01-03T11:45:00Z,2017-01-03T11:49:00Z,SVO,0 years 0 mons 0 days 1 hours 41 mins 0.00 secs,Arrived,733,Boeing 737-300
